,moniker,proposals_voted,self_delegation,tokens,tokens_bluring,identity,website,security_contact,details,commission_rate,max_commission_rate,max_commission_change_rate,min_self_delegation,result
82,ztake.org,0.0,0.26746434251635937,0.4074569064538436,10.10000000000003,2.0,1.0,0.0,1.0,0.9250000000000096,2.7900000000000014,0.034999999999999254,1.3800000000000052,19.90492124897025
83, BlockNgine 100% slash protected,0.0,0.0007679306279577632,0.2792347053049345,10.10000000000003,2.0,1.0,0.0,1.0,3.1500000000000066,0.1800000000000049,0.7949999999999998,1.3800000000000052,19.885002635932935
84,Klub Staking,0.0,9.112763043052119e-05,0.11363386049887932,10.10000000000003,2.0,1.0,0.0,1.0,3.1500000000000066,0.1800000000000049,0.7949999999999998,1.3800000000000052,19.718724988129352
85,Stargaze,0.0,0.7542685002207281,0.1709819021702647,10.10000000000003,2.0,1.0,0.0,1.0,0.3500000000000094,2.370000000000004,0.3899999999999995,1.3800000000000052,19.515250402391043
86,DSRV,0.0,9.112763043052119e-05,0.9302530855397846,10.10000000000003,2.0,1.0,1.0,1.0,0.3500000000000094,1.2150000000000056,0.3899999999999995,1.3800000000000052,19.365344213170268
87,Mandragora,0.0,0.7276145737639367,0.16834889910116763,10.10000000000003,2.0,0.0,0.0,1.0,0.3500000000000094,1.2150000000000056,0.7949999999999998,2.8800000000000012,19.23596347286515
88,c29r3,0.0,0.2699866894413994,0.14968351446695308,10.10000000000003,2.0,1.0,0.0,0.0,3.1500000000000066,0.33000000000000496,0.7949999999999998,1.3800000000000052,19.1746702039084
89,nonce classic,0.0,9.112763043052119e-05,0.2038710056550239,10.10000000000003,2.0,1.0,1.0,1.0,0.3500000000000094,1.2150000000000056,0.3899999999999995,1.3800000000000052,18.638962133285506
90,AUDIT.one,0.0,9.112763043052119e-05,0.1733295376101807,10.10000000000003,2.0,1.0,0.0,1.0,0.9250000000000096,1.2150000000000056,0.7949999999999998,1.3800000000000052,18.588420665240662
91,SpacePotato,0.0,0.3473251810862928,0.21146828891527109,10.10000000000003,2.0,1.0,0.0,1.0,0.3500000000000094,1.2150000000000056,0.7949999999999998,1.3800000000000052,18.398793470001614
92,stake.systems,0.0,0.40743163565486024,0.06709110987818759,10.10000000000003,2.0,1.0,0.0,1.0,0.3500000000000094,1.2150000000000056,0.7949999999999998,1.3800000000000052,18.314522745533097
93,StakeWithUs,0.0,0.05558785456261793,0.3409873955244002,10.10000000000003,2.0,1.0,0.0,1.0,0.3500000000000094,1.2150000000000056,0.7949999999999998,1.3800000000000052,18.236575250087068
94,Delicious,0.0,0.07941772992019921,0.05866709761099559,10.10000000000003,2.0,0.0,1.0,1.0,0.3500000000000094,1.2150000000000056,0.7949999999999998,1.3800000000000052,17.978084827531244
95,samurai,0.0,0.1556631290528498,0.08325624373749987,10.10000000000003,0.0,0.0,0.0,1.0,3.1500000000000066,1.2150000000000056,0.7949999999999998,1.3800000000000052,17.878919372790396
96,SRU-OSMO,0.0,1.1050136466005,0.06573556827744258,10.10000000000003,0.0,1.0,0.0,1.0,1.15000000000001,1.2150000000000056,0.7949999999999998,1.3800000000000052,17.81074921487799
97,Skystar Capital,0.0,0.2733828912915636,1.0085433208308903,10.10000000000003,0.0,0.0,0.0,0.0,3.1500000000000066,0.1800000000000049,0.7949999999999998,1.3800000000000052,16.8869262121225
98,blitz,0.0,0.00018225526086104238,0.21436955334708507,10.10000000000003,0.0,1.0,0.0,1.0,1.15000000000001,1.2150000000000056,0.2149999999999993,1.3800000000000052,16.274551808607995
99,fissionlabs,0.0,0.1630864276553024,0.20975145196908615,10.10000000000003,0.0,1.0,1.0,0.0,0.3500000000000094,1.2150000000000056,0.7949999999999998,1.3800000000000052,16.212837879624438
